City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
mount gambier,294.15,56,140.77,-37.83,47,AU,3.6,1604276003
lyngseidet,276.15,79,20.22,69.58,0,NO,12.9,1604276003
hithadhoo,301.75,73,73.08,-0.6,100,MV,3.74,1604276003
taunggyi,288.86,100,97.03,20.78,8,MM,0.74,1604276003
khandbari,290.58,51,87.2,27.37,52,NP,1.03,1604276004
rocha,283.11,86,-54.33,-34.48,0,UY,1.11,1604275755
shingu,294.15,68,135.98,33.73,75,JP,2.1,1604276004
lazaro cardenas,301.07,75,-102.2,17.96,1,MX,2.84,1604276004
seoul,280.15,100,126.98,37.57,1,KR,1.72,1604275804
srednekolymsk,253.79,91,153.68,67.45,100,RU,3.2,1604276005
maragogi,298.3,83,-35.22,-9.01,19,BR,4.47,1604276005
chokurdakh,255.23,94,147.92,70.63,100,RU,4.93,1604276005
pitimbu,299.15,83,-34.81,-7.47,40,BR,4.1,1604276006
severo-kurilsk,279.61,70,156.12,50.68,3,RU,4.01,1604276006
shimoda,293.15,82,138.95,34.67,75,JP,3.6,1604276006
independence,281.48,36,-94.42,39.09,1,US,3.6,1604276007
yeppoon,302.15,54,150.73,-23.13,20,AU,2.1,1604276007
okato,290.93,88,173.88,-39.2,100,NZ,2.68,1604276007
sao gabriel da cachoeira,295.58,97,-67.09,-0.13,70,BR,1.24,1604276008
gazli,282.71,40,63.45,40.13,4,UZ,3.24,1604276008
ouadda,293.25,87,22.4,8.08,97,CF,0.49,1604276009
dombarovskiy,276.59,79,59.54,50.76,0,RU,5.68,1604276009
cordoba,293.71,30,-64.18,-31.41,0,AR,4.6,1604275760
puerto escondido,300.26,72,-97.07,15.85,0,MX,1.6,1604276009
padang,299.33,71,100.35,-0.95,99,ID,1.37,1604276010
ust-maya,251.29,88,134.53,60.42,100,RU,2.52,1604276010
hambantota,299.18,81,81.12,6.12,91,LK,2.24,1604276010
atkarsk,278.21,88,45.01,51.87,18,RU,3.88,1604276010
carutapera,298.94,82,-46.02,-1.2,96,BR,2.7,1604276011
maues,302.15,61,-57.72,-3.38,54,BR,1.59,1604276011
sarangani,301.96,73,125.46,5.4,99,PH,3.18,1604276011
cidreira,289.96,66,-50.21,-30.18,13,BR,3.11,1604276011
grindavik,275.15,76,-22.43,63.84,75,IS,3.1,1604276012
lydenburg,291.48,92,30.46,-25.1,43,ZA,1.06,1604276012
san cristobal,300.15,83,-72.22,7.77,40,VE,1.0,1604276012
yerbogachen,259.13,92,108.01,61.28,27,RU,4.4,1604276013
praya,298.15,69,-23.51,14.92,20,CV,3.1,1604276014
